Orthogroup	Duplications (all)	Duplications (50% support)
OG0000772	3	3
OG0000773	3	3
OG0000774	3	3
OG0000775	3	3
OG0000776	3	3
OG0000777	3	3
OG0000778	3	3
OG0000779	3	3
OG0000780	3	3
OG0000781	3	3
OG0000782	3	3
OG0000783	3	3
OG0000784	3	3
OG0000785	2	2
OG0000786	3	3
OG0000787	3	3
OG0000788	3	3
OG0000789	3	3
OG0000790	3	3
OG0000791	3	3
OG0000792	3	3
OG0000793	3	3
OG0000794	3	3
OG0000795	3	3
OG0000796	3	3
OG0000797	3	3
OG0000798	3	3
OG0000799	3	3
OG0000800	3	3
OG0000801	3	3
OG0000802	3	3
OG0000803	3	3
OG0000804	3	3
OG0000805	4	4
OG0000806	3	3
OG0000807	3	3
OG0000808	3	3
OG0000809	3	3
OG0000810	3	3
OG0000811	3	3
OG0000812	3	3
OG0000813	3	3
OG0000814	3	3
OG0000815	3	3
OG0000816	3	3
OG0000817	3	3
OG0000818	4	4
OG0000819	3	3
OG0000820	3	3
OG0000821	3	3
OG0000822	3	3
OG0000823	3	3
OG0000824	3	3
OG0000825	3	3
OG0000826	3	3
OG0000827	3	3
OG0000828	3	3
OG0000829	3	3
OG0000830	3	3
OG0000831	3	3
OG0000832	3	3
OG0000833	3	3
OG0000834	3	3
OG0000835	3	3
OG0000836	3	3
OG0000837	3	3
OG0000838	3	3
OG0000839	3	3
OG0000840	3	3
OG0000841	3	3
OG0000842	3	3
OG0000843	3	3
OG0000844	3	3
OG0000845	3	3
OG0000846	3	3
OG0000847	3	3
OG0000848	3	3
OG0000849	3	3
OG0000850	3	3
OG0000851	3	3
OG0000852	3	3
OG0000853	3	3
OG0000854	3	3
OG0000855	3	3
OG0000856	3	3
OG0000857	3	3
OG0000858	3	3
OG0000859	3	3
OG0000860	3	3
OG0000861	3	3
OG0000862	3	3
OG0000863	3	3
OG0000864	3	3
OG0000865	3	3
OG0000866	3	3
OG0000867	3	3
OG0000868	3	3
OG0000869	3	3
OG0000870	3	3
OG0000871	3	3
OG0000872	3	3
OG0000873	3	3
OG0000874	3	3
OG0000875	3	3
OG0000876	3	3
OG0000877	3	3
OG0000878	3	3
OG0000879	3	3
OG0000880	3	3
OG0000881	3	3
OG0000882	3	3
OG0000883	3	3
OG0000884	3	3
OG0000885	3	3
OG0000886	3	3
OG0000887	3	3
OG0000888	3	3
OG0000889	3	3
OG0000890	3	3
OG0000891	3	3
OG0000892	3	3
OG0000893	3	3
OG0000894	3	3
OG0000895	3	3
OG0000896	3	3
OG0000897	3	3
